station_code,station_name,state,zone
MZRT,Murtajapur Town,MH,CR
MZS,Murkeongselek,,
MZU,Marandahalli,TN,SWR
MZW,Manjhwe,BR,ECR
MZX,Matatila,MP,NCR
MZY,Machapur,OR,ECoR
MZZ,Manjuri Road,OR,ECoR
NAB,Nagbhir Junction,MH,SECR
NAC,Nawa City,RJ,NWR
NACC,New Alipur Calcutta,WB,ER
NAD,Nagda Junction,MP,WR
NADA,Nada,GJ,WR
NAG,Nagargali,KA,SWR
NAI,Nangi,WB,ER
NAK,Naksalbari,,
NAL,Nal Halt,RJ,
NALR,Nalpur,WB,SER
NAM,Namrup,AS,NFR
NAN,Nandgaon Road,MH,KR
NANA,Nana,RJ,NWR
NANR,Naranpur,OR,ECoR
NAR,Nar,,
NAS,Nasrala,PB,NR
NASP,Narasingapalli,AP,SCR
NAT,Nathnagar,BR,ER
NAU,Nadapuram Road,KL,SR
NAW,Nawandgi,AP,SCR
NAWN,Nawan,RJ,NWR
NAZJ,NazirGanj,BR,ECR
NB,Nimbhora,MH,CR
NBA,Nabha,PB,NR
NBAE,Nabagram,WB,ER
NBD,Najibabad Junction,UP,NR
NBE,New Barrackpore,WB,ER
NBG,Nabinagar Road,BR,ECR
NBGH,Nowbagh,MH,CR
NBH,Nimbahera,RJ,WR
NBHM,Nanabhamodra,,
NBI,Nadbai,RJ,NCR
NBK,Nungambakkam,TN,SR
NBKH,Nabagram Kankurhati,WB,ER
NBL,Nimbal,KA,SWR
NBM,Navabpalem,AP,SCR
NBP,Nibhapur,UP,NR
NBPH,New Balarampur Halt,WB,ER
NBQ,New Bongaigaon,AS,NFR
NBR,Namburu,AP,SCR
NBS,New Baneswar,WB,NFR
NBT,Nayabagirthipur,OR,ECoR
NBU,Narasambudhi,KA,SWR
NBUE,Nibkarori,UP,NCR
NBUJ,Newbhuj,,
NBVJ,Newbhuj,,
NBX,Nizbarganj,,
NCA,Nizchatia,,
NCB,New Cooch Behar,WB,NFR
NCH,Nakachari,AS,NFR
NCHS,Nature Cure Hospital,AP,SCR
NCJ,Nagercoil Junction,TN,SR
NCP,Nishchindapur,WB,ER
NCPM,Nishchindapur Market Halt,WB,ER
NCR,Nagore,TN,SR
NCU,Nallacheruvu,AP,SCR
ND,Nadiad Junction,GJ,WR
NDAE,Nabadwip Dham,WB,ER
NDAZ,Naya Azadpur,DL,NR
NDB,Nandurbar,MH,WR
NDBT,Nandpur Bhatauli,HP,NR
NDD,Nidadavolu Junction,AP,SCR
NDE,Nandre,MH,CR
NDGJ,Nandahganja,WB,SER
NDH,Nindhar Benar,RJ,NWR
NDJ,NandGanj,UP,NER
NDK,Nankhas,UP,NCR
NDKD,Nadikudi Junction,AP,SCR
NDKR,Nandakumar P.H.,WB,
NDL,Nandyal,AP,SCR
NDLH,Nandlalee Halt,,
NDLS,New Delhi,DL,NR
NDM,Nidamanuru,AP,SCR
NDN,Nardana,MH,WR
NDNI,Nidhani,MP,SECR
NDO,Nidubrolu,AP,SCR
NDPR,Nandapur,MH,SCR
NDPU,Nudurupadu,AP,SCR
NDR,Nandesari,GJ,WR
NDT,Nathdwara,RJ,NWR
NDU,Nadauj,BR,ECR
NDV,Nidvanda,KA,SWR
NDW,Nadwan,BR,ECR
NDY,Nandi Halt,KA,SWR
